team,odd_win
Brazil,5.11666666666667
Argentina,6.55
France,8.4
Spain,9.75
England,10.1666666666667
Germany,12.3333333333333
Netherlands,14.1666666666667
Portugal,16.3333333333333
Belgium,19.3333333333333
Denmark,32.8333333333333
Croatia,43.8333333333333
Uruguay,49.6666666666667
Serbia,76.6666666666667
Switzerland,102.5
Senegal,119.166666666667
Mexico,157.5
United States,159.166666666667
Morocco,200.833333333333
Poland,200.833333333333
Ecuador,212.5
Wales,214.166666666667
Japan,247.5
Canada,280.833333333333
Korea Republic,334.166666666667
Ghana,395.833333333333
Cameroon,400.833333333333
Qatar,475.833333333333
IR Iran,592.833333333333
Australia,710.833333333333
Costa Rica,759.166666666667
Tunisia,759.166666666667
Saudi Arabia,925.833333333333
