team,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,PK,SoTA,Saves,Save%,CS,PKA,PKsv,PKm,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,xG.x,xGA,FK,xG.y,npxG,npxG/Sh,G-xG,np:G-xG,PSxG,PSxG+/-,Cmp,Att,Cmp%,Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Recov,Won,Lost,Won%
Ecuador,2016-06-12,18:30,Copa América Centenario,Group stage,Sun,Home,W,4,0,ht Haiti,48,"",Walter Ayoví,4-2-2-2,Gery Vargas,Match Report,,4,22,10,45.5,0.18,0.40,"",0,3,3,100.0,1,0,0,0,0,0,0,12,10,5,21,12,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-06-16,18:30,Copa América Centenario,Quarter-finals,Thu,Away,L,1,2,us United States,58,"47,322",Walter Ayoví,4-2-3-1,Wilmar Roldán,Match Report,,1,18,3,16.7,0.06,0.33,"",0,4,2,50.0,0,0,0,0,3,1,1,13,12,4,32,9,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-09-01,16:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,L,0,3,br Brazil,,"","","",Enrique Cáceres,Match Report,,0,"","","","","","",0,"","","",0,1,0,0,5,1,1,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-09-06,21:15,WCQ,WCQ — CONMEBOL (M),Tue,Away,L,1,2,pe Peru,,"","","",Wilmar Roldán,Match Report,,1,"","","","","","",0,"","","",0,1,0,0,3,1,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-10-06,16:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,3,0,cl Chile,,"30,000","","",Mauro Vigliano,Match Report,,3,"","","","","","",0,"","","",1,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-10-11,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Away,D,2,2,bo Bolivia,,"","","",Mario Díaz de Vivar,Match Report,,2,"","","","","","",0,"","","",0,0,0,0,5,1,1,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-11-10,20:00,WCQ,WCQ — CONMEBOL (M),Thu,Away,L,1,2,uy Uruguay,,"","","",Víctor Carrillo,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-11-15,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,W,3,0,ve Venezuela,,"","","",Roberto Tobar,Match Report,,3,"","","","","","",0,"","","",1,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2017-03-23,20:00,WCQ,WCQ — CONMEBOL (M),Thu,Away,L,1,2,py Paraguay,,"","","",José Argote,Match Report,,1,"","","","","","",1,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2017-03-28,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,L,0,2,co Colombia,,"","","",Néstor Pitana,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,4,1,1,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2017-06-08,20:30,Friendlies (M),Friendlies (M),Thu,Home,D,1,1,ve Venezuela,,"5,832",Enner Valencia,4-2-3-1,Ted Unkel,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2017-06-13,20:00,Friendlies (M),Friendlies (M),Tue,Neutral,W,3,0,sv El Salvador,,"2,000",Enner Valencia,4-4-2,Baldomero Toledo,Match Report,,3,"","","","","","",1,"","","",1,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2017-08-31,21:45,WCQ,WCQ — CONMEBOL (M),Thu,Away,L,0,2,br Brazil,,"","","",Mario Díaz de Vivar,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2017-09-05,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,L,1,2,pe Peru,,"","","",Enrique Cáceres,Match Report,,1,"","","","","","",1,"","","",0,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2017-10-05,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Away,L,1,2,cl Chile,,"","","",Sandro Ricci,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2017-10-10,18:30,WCQ,WCQ — CONMEBOL (M),Tue,Home,L,1,3,ar Argentina,,"","","",Anderson Daronco,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2015-10-08,21:00,WCQ,WCQ — CONMEBOL (M),Thu,Away,W,2,0,ar Argentina,,"","","",Julio Bascuñán,Match Report,,2,"","","","","","",0,"","","",1,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2015-10-13,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,W,2,0,bo Bolivia,,"","","",Sandro Ricci,Match Report,,2,"","","","","","",1,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2015-11-12,16:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,2,1,uy Uruguay,,"","","",Ricardo Marques Ribeiro,Match Report,,2,"","","","","","",0,"","","",0,0,0,0,4,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2015-11-17,16:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,W,3,1,ve Venezuela,,"","","",Gery Vargas,Match Report,,3,"","","","","","",0,"","","",0,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-03-24,16:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,D,2,2,py Paraguay,,"","","",Daniel Fedorczuk,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-03-29,15:30,WCQ,WCQ — CONMEBOL (M),Tue,Away,L,1,3,co Colombia,,"","","",Enrique Osses,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,4,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-09-01,16:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,L,0,3,br Brazil,,"","","",Enrique Cáceres,Match Report,,0,"","","","","","",0,"","","",0,1,0,0,5,1,1,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-09-06,21:15,WCQ,WCQ — CONMEBOL (M),Tue,Away,L,1,2,pe Peru,,"","","",Wilmar Roldán,Match Report,,1,"","","","","","",0,"","","",0,1,0,0,3,1,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-10-06,16:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,3,0,cl Chile,,"30,000","","",Mauro Vigliano,Match Report,,3,"","","","","","",0,"","","",1,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-10-11,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Away,D,2,2,bo Bolivia,,"","","",Mario Díaz de Vivar,Match Report,,2,"","","","","","",0,"","","",0,0,0,0,5,1,1,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-11-10,20:00,WCQ,WCQ — CONMEBOL (M),Thu,Away,L,1,2,uy Uruguay,,"","","",Víctor Carrillo,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2016-11-15,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,W,3,0,ve Venezuela,,"","","",Roberto Tobar,Match Report,,3,"","","","","","",0,"","","",1,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2017-03-23,20:00,WCQ,WCQ — CONMEBOL (M),Thu,Away,L,1,2,py Paraguay,,"","","",José Argote,Match Report,,1,"","","","","","",1,"","","",0,0,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2017-03-28,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,L,0,2,co Colombia,,"","","",Néstor Pitana,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,4,1,1,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2017-08-31,21:45,WCQ,WCQ — CONMEBOL (M),Thu,Away,L,0,2,br Brazil,,"","","",Mario Díaz de Vivar,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2017-09-05,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,L,1,2,pe Peru,,"","","",Enrique Cáceres,Match Report,,1,"","","","","","",1,"","","",0,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2017-10-05,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Away,L,1,2,cl Chile,,"","","",Sandro Ricci,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2017-10-10,18:30,WCQ,WCQ — CONMEBOL (M),Tue,Home,L,1,3,ar Argentina,,"","","",Anderson Daronco,Match Report,,1,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2018-09-07,20:00,Friendlies (M),Friendlies (M),Fri,Home,W,2,0,jm Jamaica,,"7,200",Alexander Domínguez,4-4-2,Ted Unkel,Match Report,,2,"","","","","","",1,"","","",1,0,0,0,0,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2018-09-11,20:05,Friendlies (M),Friendlies (M),Tue,Home,W,2,0,gt Guatemala,,"",Frickson Erazo,4-4-2,José Kellys,Match Report,,2,"","","","","","",0,"","","",1,0,0,0,3,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2018-10-12,18:30,Friendlies (M),Friendlies (M),Fri,Away,L,3,4,qa Qatar,,"11,480",Enner Valencia,4-2-3-1,Adham Makhadmeh,Match Report,,3,"","","","","","",0,"","","",0,1,0,0,4,2,1,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2018-10-16,18:30,Friendlies (M),Friendlies (M),Tue,Away,D,0,0,om Oman,,"",Carlos Gruezo,4-2-3-1,Abdulla Al Marri,Match Report,,0,"","","","","","",0,"","","",1,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2018-11-15,20:30,Friendlies (M),Friendlies (M),Thu,Away,W,2,0,pe Peru,,"45,000",Gabriel Achilier,4-1-4-1,Leodán González,Match Report,,2,"","","","","","",0,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2018-11-20,20:00,Friendlies (M),Friendlies (M),Tue,Away,W,2,1,pa Panama,,"",Juan Carlos Paredes,4-2-2-2,Armando Villarreal,Match Report,,2,"","","","","","",0,"","","",0,0,0,0,0,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2019-03-21,20:00,Friendlies (M),Friendlies (M),Thu,Away,L,0,1,us United States,,"17,422",Gabriel Achilier,4-1-4-1,David Gantar,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2019-03-26,20:00,Friendlies (M),Friendlies (M),Tue,Away,D,0,0,hn Honduras,,"",Gabriel Achilier,4-1-4-1,Fernando Hernández,Match Report,,0,"","","","","","",0,"","","",1,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2019-06-01,20:30,Friendlies (M),Friendlies (M),Sat,Away,D,1,1,ve Venezuela,,"12,021",Gabriel Achilier,4-2-3-1,Keylor Herrera,Match Report,,1,"","","","","","",0,"","","",0,1,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2019-06-09,18:00,Friendlies (M),Friendlies (M),Sun,Away,L,2,3,mx Mexico,,"59,000",Enner Valencia,4-1-4-1,David Gantar,Match Report,,2,"","","","","","",0,"","","",0,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2019-06-16,19:00,Copa América,Group stage,Sun,Neutral,L,0,4,uy Uruguay,39,"",Gabriel Achilier,4-2-3-1,Anderson Daronco,Match Report,,0,2,1,50.0,0.00,0.00,"",0,8,4,50.0,0,0,0,0,0,1,0,12,12,0,4,14,9,"","",1,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2019-06-21,20:00,Copa América,Group stage,Fri,Neutral,L,1,2,cl Chile,54,"",Enner Valencia,4-1-4-1,Patricio Loustau,Match Report,,1,7,2,28.6,0.00,0.00,"",1,3,1,33.3,0,0,0,0,5,1,0,22,22,0,18,9,7,"","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2019-06-24,20:00,Copa América,Group stage,Mon,Neutral,D,1,1,jp Japan,49,"7,623",Enner Valencia,4-1-4-1,Jesús Valenzuela,Match Report,,1,16,3,18.8,0.06,0.33,"",0,7,6,85.7,0,0,0,0,3,0,0,14,14,3,19,10,10,"","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2019-09-05,20:00,Friendlies (M),Friendlies (M),Thu,Neutral,W,1,0,pe Peru,,"",Fernando Gaibor,4-2-3-1,Armando Villarreal,Match Report,,1,"","","","","","",0,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2019-09-10,19:00,Friendlies (M),Friendlies (M),Tue,Home,W,3,0,bo Bolivia,,"",Fernando Gaibor,4-2-3-1,Nicolás Gallo,Match Report,,3,"","","","","","",1,"","","",1,0,0,0,2,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2019-10-13,16:00,Friendlies (M),Friendlies (M),Sun,Away,L,1,6,ar Argentina,,"",Xavier Arreaga,4-2-3-1,Luca Barbeno,Match Report,,1,"","","","","","",0,"","","",0,1,0,0,1,0,0,"","","","","","","","",1,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2019-11-14,19:00,Friendlies (M),Friendlies (M),Thu,Home,W,3,0,tt Trin & Tobago,,"",Ángel Mena,4-2-3-1,Kevin Ortega,Match Report,,3,"","","","","","",1,"","","",1,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2019-11-19,20:00,Friendlies (M),Friendlies (M),Tue,Neutral,L,0,1,co Colombia,,"10,000",Ángel Mena,4-2-3-1,Juan Calderón,Match Report,,0,"","","","","","",0,"","","",0,0,0,0,1,0,0,"","","","","","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,2021-03-29,15:30,Friendlies (M),Friendlies (M),Mon,Home,W,2,1,bo Bolivia,,"",Christian Noboa,4-2-2-2,Jhon Ospina,Match Report,,2,"","","","","","",0,"","","",0,0,0,0,1,0,0,"","","","","","","","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Ecuador,2021-06-04,21:30,WCQ,WCQ — CONMEBOL (M),Fri,Away,L,0,2,br Brazil,34,"",Enner Valencia,4-4-2,Alexis Herrera,Match Report,,0,3,0,0.0,0.00,"","",0,4,4,75.0,0,1,1,0,4,0,0,16,12,1,10,15,9,"","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Ecuador,2021-06-08,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,L,1,2,pe Peru,70,"",Alexander Domínguez,4-4-1-1,Esteban Ostojich,Match Report,,1,15,5,33.3,0.07,0.20,"",0,3,1,33.3,0,0,0,0,2,0,0,10,16,0,35,5,10,"","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Ecuador,2021-06-13,20:00,Copa América,Group stage,Sun,Neutral,L,0,1,co Colombia,59,"",Enner Valencia,4-4-2,Néstor Pitana,Match Report,,0,8,2,25.0,0.00,0.00,22.5,0,2,1,50.0,0,0,0,0,1,0,0,17,25,1,13,13,13,0,0,0,0.2,0.4,2,0.2,0.2,0.02,-0.2,-0.2,0.9,-0.1,3,8,37.5,5,31.8,36.0,3,1,33.3,0,14.3,70,23,15,60.5
Ecuador,2021-06-20,18:00,Copa América,Group stage,Sun,Neutral,D,2,2,ve Venezuela,69,"",Enner Valencia,4-4-2,Roberto Tobar,Match Report,,2,19,6,31.6,0.11,0.33,12.6,0,3,1,33.3,0,0,0,0,3,0,0,18,8,1,18,16,10,0,0,0,3,1.2,0,3.0,3.0,0.19,-1.0,-1.0,1.5,-0.5,3,6,50.0,3,41.7,33.9,3,0,0.0,0,13.0,86,22,17,56.4
Ecuador,2021-06-23,18:00,Copa América,Group stage,Wed,Neutral,D,2,2,pe Peru,57,"",Robert Arboleda,4-4-1-1,Jesús Gil,Match Report,,1,15,6,40.0,0.07,0.17,14.6,0,3,1,33.3,0,0,0,0,1,0,0,21,12,1,17,11,18,0,0,0,1.7,1.1,1,1.7,1.7,0.11,-0.7,-0.7,2.0,0.0,2,11,18.2,2,53.8,41.4,4,0,0.0,0,11.5,78,19,14,57.6
Ecuador,2021-06-27,18:00,Copa América,Group stage,Sun,Neutral,D,1,1,br Brazil,41,"",Enner Valencia,4-4-2,Roberto Tobar,Match Report,,1,8,3,37.5,0.13,0.33,25.7,0,3,2,66.7,0,0,0,0,1,0,0,16,8,1,17,13,13,0,0,0,0.4,0.6,1,0.4,0.4,0.05,+0.6,+0.6,0.8,-0.2,1,22,4.5,1,73.1,55.5,9,0,0.0,1,13.8,69,10,28,26.3
Ecuador,2021-07-03,22:00,Copa América,Quarter-finals,Sat,Neutral,L,0,3,ar Argentina,54,"",Enner Valencia,4-3-3,Wilton Pereira Sampaio,Match Report,,0,10,3,30.0,0.00,0.00,15.7,0,7,4,57.1,0,0,0,0,3,1,0,13,14,4,8,8,11,0,0,0,1,2.9,1,1.0,1.0,0.10,-1.0,-1.0,2.9,-0.1,2,15,13.3,4,52.6,43.5,8,0,0.0,2,17.0,55,14,18,43.8
Ecuador,2021-09-02,16:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,2,0,py Paraguay,64,"",Enner Valencia,3-4-3,Andrés Matonte,Match Report,,2,12,2,16.7,0.17,1.00,"",0,1,1,100.0,1,0,0,0,3,0,0,14,6,5,14,12,9,"","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Ecuador,2021-09-05,16:00,WCQ,WCQ — CONMEBOL (M),Sun,Home,D,0,0,cl Chile,54,"",Enner Valencia,4-3-3,Facundo Tello,Match Report,,0,11,4,36.4,0.00,0.00,"",0,3,3,100.0,2,0,0,0,1,1,0,17,18,3,31,12,2,"","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Ecuador,2021-09-09,19:30,WCQ,WCQ — CONMEBOL (M),Thu,Away,L,0,1,uy Uruguay,46,"",Carlos Gruezo,5-3-2,Anderson Daronco,Match Report,,0,7,2,28.6,0.00,0.00,"",0,1,0,0.0,0,0,0,0,1,0,0,16,11,0,12,10,19,"","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Ecuador,2021-10-07,19:30,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,3,0,bo Bolivia,68,"",Enner Valencia,4-2-3-1,Wilmar Roldán,Match Report,,3,17,6,35.3,0.18,0.50,"",0,3,3,100.0,1,0,0,0,0,0,0,9,6,0,22,8,14,"","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Ecuador,2021-10-10,16:30,WCQ,WCQ — CONMEBOL (M),Sun,Away,L,1,2,ve Venezuela,58,"",Enner Valencia,3-4-3,Andrés Cunha,Match Report,,1,12,3,25.0,0.00,0.00,"",1,3,1,33.3,0,0,0,0,2,0,0,8,17,2,17,8,13,"","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
Ecuador,2021-10-14,16:00,WCQ,WCQ — CONMEBOL (M),Thu,Away,D,0,0,co Colombia,38,"",Enner Valencia,4-4-2,Diego Haro,Match Report,,0,7,5,71.4,0.00,0.00,"",0,5,4,100.0,1,0,0,0,2,0,0,12,8,3,9,10,7,"","",0,,,"","","","","","","","","","","","","","","","","","","","","","",""
