usuario,puntos,modo,rank
@rainermat,8,Extra,93
@rainermat,96,Mundial ideal,103.5
@rainermat,46,Quiniela,113.5
@rainermat,150,Total,62.5
aaf,0,Extra,10
aaf,94,Mundial ideal,94
aaf,37,Quiniela,40
aaf,131,Total,114
AbuIsa,4,Extra,44
AbuIsa,79,Mundial ideal,43.5
AbuIsa,31,Quiniela,12.5
AbuIsa,114,Total,147.5
acarus,12,Extra,133
acarus,36,Mundial ideal,14
acarus,35,Quiniela,28
acarus,83,Total,159
AdrianOtero,4,Extra,44
AdrianOtero,102,Mundial ideal,126.5
AdrianOtero,39,Quiniela,51
AdrianOtero,145,Total,78
ahoritaregreso,0,Extra,10
ahoritaregreso,89,Mundial ideal,78
ahoritaregreso,42,Quiniela,75.5
ahoritaregreso,131,Total,114
Alducin90,8,Extra,93
Alducin90,80,Mundial ideal,47
Alducin90,50,Quiniela,140.5
Alducin90,138,Total,100.5
Ale%20Saevich,12,Extra,133
Ale%20Saevich,97,Mundial ideal,108
Ale%20Saevich,43,Quiniela,88
Ale%20Saevich,152,Total,56.5
alejandroalducin,12,Extra,133
alejandroalducin,81,Mundial ideal,49.5
alejandroalducin,53,Quiniela,151
alejandroalducin,146,Total,73
alfrecabo,0,Extra,10
alfrecabo,54,Mundial ideal,18
alfrecabo,63,Quiniela,171
alfrecabo,117,Total,145
Almeydista4ever,12,Extra,133
Almeydista4ever,105,Mundial ideal,133.5
Almeydista4ever,45,Quiniela,106.5
Almeydista4ever,162,Total,37
alodieu,24,Extra,171.5
alodieu,110,Mundial ideal,147
alodieu,48,Quiniela,128.5
alodieu,182,Total,8
alvarom85,4,Extra,44
alvarom85,101,Mundial ideal,123.5
alvarom85,41,Quiniela,65
alvarom85,146,Total,73
andrearamosst,4,Extra,44
andrearamosst,82,Mundial ideal,53.5
andrearamosst,60,Quiniela,168.5
andrearamosst,146,Total,73
andresarau,8,Extra,93
andresarau,69,Mundial ideal,26
andresarau,41,Quiniela,65
andresarau,118,Total,143.5
andstav,0,Extra,10
andstav,70,Mundial ideal,27
andstav,39,Quiniela,51
andstav,109,Total,152.5
Aortuno76,4,Extra,44
Aortuno76,66,Mundial ideal,21
Aortuno76,49,Quiniela,134.5
Aortuno76,119,Total,141.5
Arlekas,4,Extra,44
Arlekas,78,Mundial ideal,39
Arlekas,30,Quiniela,9.5
Arlekas,112,Total,151
awegier,8,Extra,93
awegier,95,Mundial ideal,99
awegier,48,Quiniela,128.5
awegier,151,Total,59
bartdelmar,4,Extra,44
bartdelmar,85,Mundial ideal,63
bartdelmar,59,Quiniela,165.5
bartdelmar,148,Total,65.5
bastillo,8,Extra,93
bastillo,94,Mundial ideal,94
bastillo,53,Quiniela,151
bastillo,155,Total,51.5
Becerril,12,Extra,133
Becerril,92,Mundial ideal,89.5
Becerril,36,Quiniela,34
Becerril,140,Total,92.5
Bellidos,20,Extra,166.5
Bellidos,125,Mundial ideal,168.5
Bellidos,48,Quiniela,128.5
Bellidos,193,Total,3
bernaklein,12,Extra,133
bernaklein,66,Mundial ideal,21
bernaklein,30,Quiniela,9.5
bernaklein,108,Total,154.5
ButifarrasFC,4,Extra,44
ButifarrasFC,101,Mundial ideal,123.5
ButifarrasFC,53,Quiniela,151
ButifarrasFC,158,Total,45.5
Canaya,12,Extra,133
Canaya,77,Mundial ideal,36
Canaya,37,Quiniela,40
Canaya,126,Total,127
CapiSRR,20,Extra,166.5
CapiSRR,125,Mundial ideal,168.5
CapiSRR,42,Quiniela,75.5
CapiSRR,187,Total,6
Carlos%20Carvallo,8,Extra,93
Carlos%20Carvallo,97,Mundial ideal,108
Carlos%20Carvallo,34,Quiniela,23
Carlos%20Carvallo,139,Total,97.5
carlospx,0,Extra,10
carlospx,94,Mundial ideal,94
carlospx,34,Quiniela,23
carlospx,128,Total,121
carus,4,Extra,44
carus,98,Mundial ideal,112.5
carus,44,Quiniela,99
carus,146,Total,73
Carusa,8,Extra,93
Carusa,97,Mundial ideal,108
Carusa,40,Quiniela,58.5
Carusa,145,Total,78
cascarin,12,Extra,133
cascarin,89,Mundial ideal,78
cascarin,35,Quiniela,28
cascarin,136,Total,104.5
cazarm,4,Extra,44
cazarm,89,Mundial ideal,78
cazarm,57,Quiniela,163
cazarm,150,Total,62.5
CCCP,24,Extra,171.5
CCCP,104,Mundial ideal,131
CCCP,42,Quiniela,75.5
CCCP,170,Total,25.5
ccorona.vazquez,4,Extra,44
ccorona.vazquez,82,Mundial ideal,53.5
ccorona.vazquez,36,Quiniela,34
ccorona.vazquez,122,Total,135.5
Celso%20Hair,4,Extra,44
Celso%20Hair,81,Mundial ideal,49.5
Celso%20Hair,34,Quiniela,23
Celso%20Hair,119,Total,141.5
Chacho,4,Extra,44
Chacho,102,Mundial ideal,126.5
Chacho,58,Quiniela,164
Chacho,164,Total,35
Chamactheonly,8,Extra,93
Chamactheonly,99,Mundial ideal,117
Chamactheonly,53,Quiniela,151
Chamactheonly,160,Total,39.5
christianshehadi,8,Extra,93
christianshehadi,97,Mundial ideal,108
christianshehadi,46,Quiniela,113.5
christianshehadi,151,Total,59
Chxipe,0,Extra,10
Chxipe,118,Mundial ideal,161
Chxipe,59,Quiniela,165.5
Chxipe,177,Total,13.5
claudífonos,12,Extra,133
claudífonos,95,Mundial ideal,99
claudífonos,38,Quiniela,44.5
claudífonos,145,Total,78
Conedin,16,Extra,155.5
Conedin,82,Mundial ideal,53.5
Conedin,43,Quiniela,88
Conedin,141,Total,88
CristinaSD,4,Extra,44
CristinaSD,113,Mundial ideal,152.5
CristinaSD,51,Quiniela,145
CristinaSD,168,Total,28
Cuatro,16,Extra,155.5
Cuatro,95,Mundial ideal,99
Cuatro,47,Quiniela,122
Cuatro,158,Total,45.5
Diego%20Espinosa,16,Extra,155.5
Diego%20Espinosa,85,Mundial ideal,63
Diego%20Espinosa,43,Quiniela,88
Diego%20Espinosa,144,Total,80
docpezzotti@yahoo.com.mx,4,Extra,44
docpezzotti@yahoo.com.mx,29,Mundial ideal,11
docpezzotti@yahoo.com.mx,36,Quiniela,34
docpezzotti@yahoo.com.mx,69,Total,161
Don%20Diego,12,Extra,133
Don%20Diego,109,Mundial ideal,143.5
Don%20Diego,46,Quiniela,113.5
Don%20Diego,167,Total,31.5
dopeirus,4,Extra,44
dopeirus,79,Mundial ideal,43.5
dopeirus,41,Quiniela,65
dopeirus,124,Total,130
Eclipse,12,Extra,133
Eclipse,86,Mundial ideal,66.5
Eclipse,42,Quiniela,75.5
Eclipse,140,Total,92.5
el_oso,8,Extra,93
