year,team,Opponent,Date,GF,GA,local_fifa_index,visitante_fifa_index,all_nrm_did_score_local,all_nrm_fail_to_score_local,all_nrm_did_receive_goal_local,all_nrm_didnt_receive_goal_local,all_nrm_GF_local,all_nrm_GA_local,all_nrm_Gdiff_local,all_nrm_did_score_visitante,all_nrm_fail_to_score_visitante,all_nrm_did_receive_goal_visitante,all_nrm_didnt_receive_goal_visitante,all_nrm_GF_visitante,all_nrm_GA_visitante,all_nrm_Gdiff_visitante
2022,Ghana,Uruguay,2022-12-02,,,0.756530711996959,0.88997447455602,0.6,0.4,0.7,0.3,0.9,1.3,-0.4,0.857142857142857,0.142857142857143,0.285714285714286,0.714285714285714,1.85714285714286,0.285714285714286,1.57142857142857
2022,Korea Republic,Portugal,2022-12-02,,,0.831097594091131,0.910530603378048,0.923076923076923,0.0769230769230769,0.461538461538462,0.538461538461538,2.07692307692308,0.923076923076923,1.15384615384615,0.75,0.25,0.5,0.5,2,0.5,1.5
2022,Cameroon,Brazil,2022-12-02,,,0.799131048715581,1,0.692307692307692,0.307692307692308,0.769230769230769,0.230769230769231,1.38461538461538,1,0.384615384615385,1,0,0.375,0.625,3.375,0.375,3
2022,Serbia,Switzerland,2022-12-02,,,0.849193504589149,0.888459240753815,0.75,0.25,0.625,0.375,1.75,1,0.75,0.75,0.25,0.875,0.125,1,1.5,-0.5
2022,Croatia,Belgium,2022-12-01,,,0.893738119806658,0.986645304947591,0.875,0.125,0.75,0.25,1.375,1,0.375,0.875,0.125,0.75,0.25,2,1.25,0.75
2022,Canada,Morocco,2022-12-01,,,0.801064465323413,0.849128333242818,0.666666666666667,0.333333333333333,0.444444444444444,0.555555555555556,1.55555555555556,0.666666666666667,0.888888888888889,0.833333333333333,0.166666666666667,0.583333333333333,0.416666666666667,1.58333333333333,0.916666666666667,0.666666666666667
2022,Costa Rica,Germany,2022-12-01,,,0.816591538586868,0.896220061912779,0.9,0.1,0.3,0.7,1.4,0.4,1,0.875,0.125,0.875,0.125,1.75,1.25,0.5
2022,Japan,Spain,2022-12-01,,,0.846977678813882,0.931526638787813,0.75,0.25,0.375,0.625,1.625,0.375,1.25,1,0,0.5,0.5,1.875,0.75,1.125
2022,Australia,Denmark,2022-11-30,,,0.808515722587303,0.905105088795959,0.666666666666667,0.333333333333333,0.555555555555556,0.444444444444444,1.44444444444444,0.777777777777778,0.666666666666667,0.875,0.125,0.625,0.375,1.75,1.125,0.625
2022,Tunisia,France,2022-11-30,,,0.818736762070276,0.955726932058871,0.545454545454545,0.454545454545455,0.363636363636364,0.636363636363636,1.09090909090909,0.727272727272727,0.363636363636364,0.75,0.25,0.75,0.25,1.5,1,0.5
2022,Poland,Argentina,2022-11-30,,,0.841030793461142,0.963384565252811,0.75,0.25,0.75,0.25,1.125,1.625,-0.5,1,0,0.285714285714286,0.714285714285714,2.57142857142857,0.285714285714286,2.28571428571429
2022,Saudi Arabia,Mexico,2022-11-30,,,0.780850486069625,0.893330798892087,0.454545454545455,0.545454545454545,0.454545454545455,0.545454545454545,0.454545454545455,0.545454545454545,-0.0909090909090909,0.571428571428571,0.428571428571429,0.357142857142857,0.642857142857143,1.07142857142857,0.642857142857143,0.428571428571429
2022,Ecuador,Senegal,2022-11-29,,,0.795302232118612,0.860468147504481,0.6,0.4,0.4,0.6,0.6,0.6,0,0.692307692307692,0.307692307692308,0.384615384615385,0.615384615384615,1.30769230769231,0.384615384615385,0.923076923076923
2022,Netherlands,Qatar,2022-11-29,,,0.920279150600119,0.781996415575952,1,0,0.75,0.25,2.375,1.125,1.25,0.714285714285714,0.285714285714286,0.714285714285714,0.285714285714286,1.14285714285714,1,0.142857142857143
2022,Wales,England,2022-11-29,,,0.852560690816271,0.938722641611905,0.888888888888889,0.111111111111111,0.888888888888889,0.111111111111111,1.11111111111111,1.44444444444444,-0.333333333333333,0.5,0.5,0.75,0.25,1.125,1.375,-0.25
2022,IR Iran,United States,2022-11-29,,,0.849731168196383,0.883875522728507,0.875,0.125,0.5,0.5,1,0.875,0.125,0.444444444444444,0.555555555555556,0.444444444444444,0.555555555555556,1.33333333333333,0.777777777777778,0.555555555555556
2022,Cameroon,Serbia,2022-11-28,,,0.799131048715581,0.849193504589149,0.692307692307692,0.307692307692308,0.769230769230769,0.230769230769231,1.38461538461538,1,0.384615384615385,0.75,0.25,0.625,0.375,1.75,1,0.75
2022,Korea Republic,Ghana,2022-11-28,,,0.831097594091131,0.756530711996959,0.923076923076923,0.0769230769230769,0.461538461538462,0.538461538461538,2.07692307692308,0.923076923076923,1.15384615384615,0.6,0.4,0.7,0.3,0.9,1.3,-0.4
2022,Brazil,Switzerland,2022-11-28,,,1,0.888459240753815,1,0,0.375,0.625,3.375,0.375,3,0.75,0.25,0.875,0.125,1,1.5,-0.5
2022,Portugal,Uruguay,2022-11-28,,,0.910530603378048,0.88997447455602,0.75,0.25,0.5,0.5,2,0.5,1.5,0.857142857142857,0.142857142857143,0.285714285714286,0.714285714285714,1.85714285714286,0.285714285714286,1.57142857142857
2022,Japan,Costa Rica,2022-11-27,,,0.846977678813882,0.816591538586868,0.75,0.25,0.375,0.625,1.625,0.375,1.25,0.9,0.1,0.3,0.7,1.4,0.4,1
2022,Belgium,Morocco,2022-11-27,,,0.986645304947591,0.849128333242818,0.875,0.125,0.75,0.25,2,1.25,0.75,0.833333333333333,0.166666666666667,0.583333333333333,0.416666666666667,1.58333333333333,0.916666666666667,0.666666666666667
2022,Croatia,Canada,2022-11-27,,,0.893738119806658,0.801064465323413,0.875,0.125,0.75,0.25,1.375,1,0.375,0.666666666666667,0.333333333333333,0.444444444444444,0.555555555555556,1.55555555555556,0.666666666666667,0.888888888888889
2022,Spain,Germany,2022-11-27,,,0.931526638787813,0.896220061912779,1,0,0.5,0.5,1.875,0.75,1.125,0.875,0.125,0.875,0.125,1.75,1.25,0.5
2022,Tunisia,Australia,2022-11-26,,,0.818736762070276,0.808515722587303,0.545454545454545,0.454545454545455,0.363636363636364,0.636363636363636,1.09090909090909,0.727272727272727,0.363636363636364,0.666666666666667,0.333333333333333,0.555555555555556,0.444444444444444,1.44444444444444,0.777777777777778,0.666666666666667
2022,Poland,Saudi Arabia,2022-11-26,,,0.841030793461142,0.780850486069625,0.75,0.25,0.75,0.25,1.125,1.625,-0.5,0.454545454545455,0.545454545454545,0.454545454545455,0.545454545454545,0.454545454545455,0.545454545454545,-0.0909090909090909
2022,France,Denmark,2022-11-26,,,0.955726932058871,0.905105088795959,0.75,0.25,0.75,0.25,1.5,1,0.5,0.875,0.125,0.625,0.375,1.75,1.125,0.625
2022,Argentina,Mexico,2022-11-26,,,0.963384565252811,0.893330798892087,1,0,0.285714285714286,0.714285714285714,2.57142857142857,0.285714285714286,2.28571428571429,0.571428571428571,0.428571428571429,0.357142857142857,0.642857142857143,1.07142857142857,0.642857142857143,0.428571428571429
2022,Wales,IR Iran,2022-11-25,,,0.852560690816271,0.849731168196383,0.888888888888889,0.111111111111111,0.888888888888889,0.111111111111111,1.11111111111111,1.44444444444444,-0.333333333333333,0.875,0.125,0.5,0.5,1,0.875,0.125
